first,business_mar_19,business_mar_19,business_mar_20,business_mar_20,business_mar_21,business_mar_21,mar_20-mar_19,mar_20-mar_19,nor_mar_20-mar_19,nor_mar_20-mar_19,mar_21-mar_20,mar_21-mar_20,nor_mar_21-mar_20,nor_mar_21-mar_20
second,raw_visit_counts,raw_visitor_counts,raw_visit_counts,raw_visitor_counts,raw_visit_counts,raw_visitor_counts,raw_visit_counts,raw_visitor_counts,raw_visit_counts,raw_visitor_counts,raw_visit_counts,raw_visitor_counts,raw_visit_counts,raw_visitor_counts
category,,,,,,,,,,,,,,
Accomodation,467745,254302,196575,111747,96993,55891,-271170,-142555,-0.5797389603309495,-0.5605736486539626,-99582,-55856,-0.5065852727966424,-0.4998433962432996
Education,395591,168340,221494,102124,111892,54474,-174097,-66216,-0.44009342983030453,-0.39334679814660806,-109602,-47650,-0.49483055974428203,-0.4665896361286279
Financial Activities,10235,4693,6117,2937,3658,1546,-4118,-1756,-0.4023448949682462,-0.3741743021521415,-2459,-1391,-0.4019944417197973,-0.47361252979230506
Food,4887715,2955348,2122903,1352732,1214377,765434,-2764812,-1602616,-0.565665551285212,-0.5422765779190809,-908526,-587298,-0.4279639719761101,-0.43415695052678577
Goods Production,103881,57620,52777,29903,26788,14592,-51104,-27717,-0.491947516870265,-0.48103089205137106,-25989,-15311,-0.49243041476400706,-0.51202220512992
Health Care,491347,212287,321706,142971,219743,96332,-169641,-69316,-0.34525701795268926,-0.32652022968905303,-101963,-46639,-0.31694466376132246,-0.32621300823243876
Other,162728,86793,95766,52766,61500,32957,-66962,-34027,-0.41149648493191093,-0.3920477457859505,-34266,-19809,-0.35780966104880646,-0.37541219724822805
Professional and Business Services,44009,23447,17041,8067,10561,5183,-26968,-15380,-0.6127837487786589,-0.6559474559645158,-6480,-2884,-0.38025937444985625,-0.3575058881864386
Real Estate,139983,72630,78127,42928,53808,27164,-61856,-29702,-0.4418822285563247,-0.40894946991601266,-24319,-15764,-0.3112752313540773,-0.3672195303764443
Recreation,4084598,2064370,3228826,1736768,2065839,1114446,-855772,-327602,-0.20951192748955955,-0.15869345127084777,-1162987,-622322,-0.3601888116609566,-0.3583218944614364
Transportation,192828,92072,95832,47201,48065,24501,-96996,-44871,-0.503018233866451,-0.48734685897992874,-47767,-22700,-0.49844519575924534,-0.4809220143641025
Wholesale and Retail,2713860,1592871,1317471,821313,795016,491819,-1396389,-771558,-0.5145398067696934,-0.48438197443484127,-522455,-329494,-0.3965590134431802,-0.4011795746566778
